TimeStamp(epoch),mAccelerometerMagnitude(m/s^2),mAccelerometerX(m/s^2),mAccelerometerY(m/s^2),mAccelerometerZ(m/s^2),mGyroscopeMagnitude(rad/s),mGyroscopeX(rad/s),mGyroscopeY(rad/s),mGyroscopeZ(rad/s) 
1566316798024, 8.887458, 1.2717555, 3.8751419, 7.89638, 0.8541927, 0.13102753, -0.76592517, 0.35473305
1566316798024, 8.819755, 1.4034815, 3.66438, 7.8987746, 0.80701363, 0.13528858, -0.7105314, 0.35792887
1566316798035, 8.830354, 1.5232325, 3.547024, 7.941885, 0.793755, 0.13102753, -0.69348717, 0.36325517
1566316798035, 8.868752, 1.4322218, 3.4584084, 8.040081, 0.78443116, 0.13635385, -0.67537767, 0.3749731
1566316798045, 8.84305, 1.3675562, 3.412903, 8.042476, 0.80445105, 0.14594123, -0.6828345, 0.39947417
1566316798046, 8.841506, 1.2957057, 3.4536183, 8.035291, 0.8175771, 0.1587244, -0.6860303, 0.41545314
1566316798056, 8.834128, 1.2885206, 3.3865578, 8.056846, 0.8678872, 0.17470337, -0.71479243, 0.46019423
1566316798057, 8.764009, 1.2669654, 3.290757, 8.023315, 0.92761296, 0.19813919, -0.7595336, 0.49428272
1566316798066, 8.434701, 1.099314, 3.3242872, 7.673643, 0.9936753, 0.21837921, -0.8085357, 0.53476274
1566316798067, 8.413794, 1.0777588, 3.2668068, 7.678433, 1.0655489, 0.23648871, -0.84688526, 0.6018744
1566316798076, 8.636898, 1.0250684, 3.3171022, 7.9083548, 1.1059794, 0.2876214, -0.829841, 0.67218184
1566316798076, 7.6344924, 1.1903248, 3.2260914, 6.816226, 1.1398728, 0.29827404, -0.8223842, 0.7307714
1566316798087, 8.489891, 1.6118482, 3.2380664, 7.680828, 1.159296, 0.34088463, -0.78083885, 0.7861652
1566316798087, 7.621331, 1.8800904, 3.0105398, 6.744375, 1.1577445, 0.3472762, -0.7275756, 0.8309063
1566316798096, 7.434154, 2.1076174, 3.0776002, 6.430628, 1.1458894, 0.3653857, -0.62317973, 0.88949585
1566316798097, 7.0100746, 2.0213966, 2.7638526, 6.11688, 1.1328951, 0.37284255, -0.45699844, 0.9672601
1566316798106, 5.746363, 2.1076174, 2.2896388, 4.8307548, 1.1469223, 0.36112466, -0.27803403, 1.0524813
1566316798106, 6.0612574, 2.1076174, 2.0812721, 5.2882032, 1.1760048, 0.34194988, -0.07350325, 1.1227888
1566316798116, 4.3676443, 2.0309765, 1.705254, 3.4703834, 1.2374629, 0.3057309, 0.082025364, 1.196292
1566316798117, 5.034152, 2.0261867, 1.7675245, 4.25595, 1.3157586, 0.27057716, 0.23755397, 1.2655342
1566316798126, 3.7375116, 1.695674, 1.707649, 2.8596535, 1.3556151, 0.21092236, 0.3270362, 1.2985574
1566316798126, 3.9591835, 1.6405884, 1.8896705, 3.06802, 1.4123309, 0.15765914, 0.36964676, 1.3539511
