TimeStamp(epoch),ColourHit,CorrectColour,CorrectOrNot 
1565632731737, BLUE, BLUE, True 
1565632734009, GREEN, GREEN, True 
1565632736015, ORANGE, ORANGE, True 
1565632738801, YELLOW, YELLOW, True 
1565632740750, GREEN, GREEN, True 
1565632742299, YELLOW, YELLOW, True 
1565632743982, RED, RED, True 
1565632745657, GREEN, GREEN, True 
1565632747372, ORANGE, ORANGE, True 
1565632748924, GREEN, GREEN, True 
