TimeStamp(epoch),ColourHit,CorrectColour,CorrectOrNot 
1565633278275, RED, RED, True 
1565633279972, GREEN, GREEN, True 
1565633282468, ORANGE, ORANGE, True 
1565633284714, YELLOW, YELLOW, True 
1565633286272, ORANGE, ORANGE, True 
1565633287747, GREEN, GREEN, True 
1565633289902, YELLOW, YELLOW, True 
1565633291850, GREEN, GREEN, True 
1565633293576, YELLOW, YELLOW, True 
1565633295216, GREEN, GREEN, True 
