TimeStamp(epoch),ColourHit,CorrectColour,CorrectOrNot 
1565633812127, BLUE, BLUE, True 
1565633813910, RED, RED, True 
1565633815569, GREEN, GREEN, True 
1565633817094, YELLOW, YELLOW, True 
1565633819047, BLUE, BLUE, True 
1565633820509, GREEN, GREEN, True 
1565633822885, BLUE, BLUE, True 
1565633824345, YELLOW, YELLOW, True 
1565633825739, RED, RED, True 
1565633827096, YELLOW, YELLOW, True 
1565633828500, ORANGE, ORANGE, True 
