TimeStamp(epoch),mAccelerometerMagnitude(m/s^2),mAccelerometerX(m/s^2),mAccelerometerY(m/s^2),mAccelerometerZ(m/s^2),mGyroscopeMagnitude(rad/s),mGyroscopeX(rad/s),mGyroscopeY(rad/s),mGyroscopeZ(rad/s) 
1565632622817, 8.422225, 5.2043777, -0.9029224, 6.559959, 2.6560655, -1.180313, -2.3542345, 0.34514567
1565632622826, 8.183407, 5.0750465, -0.8646021, 6.361172, 2.7426107, -1.0759171, -2.4905882, 0.4016047
1565632622826, 7.876098, 5.017566, -0.847837, 6.0114994, 2.8068204, -1.0077401, -2.5800705, 0.45380265
1565632622840, 7.3683214, 5.010381, -0.8143067, 5.3408937, 2.8403628, -0.9736517, -2.6162896, 0.52411014
1565632622840, 6.9054103, 5.1756372, -0.68737066, 4.519402, 2.8483663, -1.0034791, -2.593919, 0.6146576
1565632622851, 6.6547256, 5.611531, -0.60594, 3.5254688, 2.79816, -1.0652645, -2.4948494, 0.6860303
1565632622851, 6.4783177, 5.9156985, -0.58677983, 2.574646, 2.7354615, -1.212271, -2.3339944, 0.7520767
1565632622859, 6.721527, 6.456973, -0.6490503, 1.7507594, 2.6885436, -1.3869743, -2.1497037, 0.8266452
1565632622859, 6.8220997, 6.5336137, -1.0849439, 1.6357985, 2.6847546, -1.6074841, -1.9398465, 0.92784536
1565632622870, 7.08523, 7.0269876, -0.79754156, 0.43110353, 2.730702, -1.8620822, -1.748099, 0.96619487
1565632622870, 8.126337, 7.89638, -0.8382569, 1.7268091, 2.7916272, -2.1060278, -1.551025, 0.9757822
1565632622879, 8.660289, 8.499925, -1.0418335, 1.2909156, 2.8976269, -2.3595607, -1.4125407, 0.9129316
1565632622879, 9.503253, 9.11784, -1.4849122, 2.2297633, 3.0058088, -2.5566347, -1.3166668, 0.8745821
1565632622889, 10.110398, 9.168135, -1.8106349, 3.8583767, 3.087921, -2.6993802, -1.2580773, 0.8159926
1565632622890, 10.462705, 9.381292, -2.1603076, 4.0978785, 3.1440895, -2.775014, -1.2602079, 0.77231675
1565632622899, 11.559832, 9.158555, -2.2225783, 6.69408, 3.1616433, -2.808037, -1.2612731, 0.721184
1565632622899, 11.159009, 8.945398, -2.3806496, 6.231841, 3.1726387, -2.795254, -1.3358417, 0.68389976
1565632622909, 12.48345, 8.749006, -2.3686745, 8.583751, 3.1397703, -2.7174897, -1.4253238, 0.664725
1565632622910, 12.205847, 8.50711, -2.5027955, 8.387359, 3.1027818, -2.610963, -1.551025, 0.6359629
1565632622919, 12.987563, 8.442444, -2.548301, 9.534574, 3.051898, -2.4501083, -1.7172064, 0.6018744
1565632622920, 13.2810755, 8.226892, -2.5411158, 10.111773, 3.0284078, -2.2849922, -1.8961707, 0.5954828
1565632622929, 12.93802, 8.109536, -2.6512868, 9.726174, 3.0272331, -2.0815268, -2.118811, 0.58483016
1565632622929, 13.93082, 7.917935, -2.4836354, 11.189531, 2.997683, -1.8556907, -2.2807312, 0.5837649
1565632622939, 12.81369, 8.047266, -2.5411158, 9.642349, 3.013016, -1.635181, -2.457565, 0.6040049
1565632622940, 13.666939, 8.097562, -2.327959, 10.760823, 2.9890316, -1.401888, -2.5683527, 0.6103965
1565632622948, 12.027887, 8.064031, -2.2201831, 8.643626, 2.9896982, -1.2463595, -2.6397252, 0.64555025
1565632622948, 11.946311, 8.121511, -1.9734962, 8.53585, 2.9359467, -1.1068097, -2.634399, 0.6743124
1565632622959, 10.758105, 8.167017, -1.7411792, 6.782696, 2.8775947, -1.0929613, -2.5587652, 0.7339672
1565632622959, 9.903811, 8.3322735, -1.5926881, 5.110972, 2.7950242, -1.1590078, -2.4181504, 0.7882957
1565632622970, 9.388494, 8.5430355, -1.5184424, 3.5853443, 2.7459126, -1.3219932, -2.2583606, 0.8319715
1565632622971, 9.420664, 8.931028, -1.5471827, 2.567461, 2.7398927, -1.5488945, -2.0932446, 0.8522116
1565632622981, 9.464207, 9.208851, -1.4705421, 1.6142433, 2.7533748, -1.7949706, -1.8983012, 0.8692558
1565632622981, 9.59815, 9.402847, -1.6310084, 1.0250684, 2.8431957, -2.0921793, -1.7129452, 0.8788432
1565632622990, 9.9025545, 9.671089, -1.7244141, 1.2478052, 2.9541564, -2.3499734, -1.546764, 0.9012137
1565632622991, 10.057711, 9.711804, -1.7771046, 1.9184108, 3.0551388, -2.5555694, -1.406149, 0.9086706
1565632623001, 10.468581, 9.841136, -1.9663111, 2.9794044, 3.1455302, -2.7057717, -1.3145363, 0.9193232
1565632623001, 10.928303, 9.877061, -2.2752686, 4.0859036, 3.170994, -2.7899277, -1.2016183, 0.90973586
1565632623010, 11.436172, 9.924961, -2.6153615, 5.0439115, 3.1948857, -2.8272119, -1.1675298, 0.922519
1565632623011, 12.160246, 10.042317, -2.792593, 6.262976, 3.1734807, -2.7931235, -1.1909657, 0.922519
1565632623021, 12.764612, 10.068663, -2.8261232, 7.31918, 3.108431, -2.7047064, -1.2442288, 0.89375687
1565632623022, 13.466664, 10.35367, -2.8692336, 8.119117, 3.0354073, -2.582201, -1.3401027, 0.86606
1565632623031, 13.99782, 10.492581, -3.06323, 8.744217, 2.9489834, -2.4362597, -1.4444987, 0.8213189
1565632623031, 14.255771, 10.545272, -3.151846, 9.060359, 2.8458934, -2.2487733, -1.5531555, 0.793622
1565632623042, 14.580635, 10.734478, -3.2021413, 9.333391, 2.7387853, -2.0548952, -1.6532904, 0.73822826
1565632623042, 14.548873, 10.744058, -3.288362, 9.242381, 2.6338477, -1.8642128, -1.7182716, 0.7137272
1565632623051, 14.231824, 10.660233, -3.2213013, 8.861572, 2.549132, -1.6767262, -1.7981664, 0.67324716
1565632623052, 13.813387, 10.389595, -3.1566358, 8.538245, 2.4998708, -1.5116103, -1.8738002, 0.67324716
1565632623062, 13.439971, 10.298584, -3.0704153, 8.071217, 2.4613583, -1.3518206, -1.9504992, 0.6530071
1565632623062, 13.287749, 10.226734, -2.919529, 7.965835, 2.44535, -1.2335763, -2.0133498, 0.6359629
1565632623071, 12.057279, 10.181229, -2.816543, 5.8127127, 2.4471781, -1.123854, -2.0793962, 0.63383234
1565632623072, 12.489302, 10.030342, -2.5363257, 6.9958525, 2.4218419, -1.0439591, -2.0900488, 0.6380934
1565632623081, 11.04078, 9.848321, -2.6225464, 4.24637, 2.4189327, -1.0088054, -2.1038973, 0.6380934
1565632623082, 11.033289, 9.630374, -2.4956105, 4.7708793, 2.370536, -0.98110855, -2.049569, 0.67537767
1565632623091, 10.1255455, 9.295072, -2.548301, 3.1039455, 2.3679323, -1.0173275, -2.0133498, 0.72011876
1565632623092, 9.940528, 9.206455, -2.5818312, 2.7183473, 2.3684924, -1.0375676, -1.9824572, 0.7765778
1565632623102, 9.706992, 8.983719, -2.4165747, 2.7710378, 2.3872254, -1.0940266, -1.9504992, 0.83516735
1565632623102, 9.339869, 8.844808, -2.6417067, 1.4226416, 2.4401016, -1.160073, -1.9483687, 0.9012137
1565632623112, 9.756639, 9.002879, -2.5075855, 2.802173, 2.4560459, -1.1984226, -1.9206718, 0.95234644
1565632623113, 9.518481, 9.08431, -2.6105714, 1.1232642, 2.515157, -1.24849, -1.9451729, 0.9917612
1565632623123, 10.134045, 9.352551, -2.6656568, 2.8500733, 2.529375, -1.2761868, -1.9323897, 1.0173275
1565632623123, 10.215895, 9.582474, -2.9626393, 1.9399658, 2.587945, -1.3166668, -1.965413, 1.0492855
1565632623132, 10.473701, 9.656719, -3.0871804, 2.6297317, 2.593477, -1.3124058, -1.9611518, 1.0759171
1565632623133, 10.717283, 9.802815, -3.178191, 2.943479, 2.5848682, -1.3198626, -1.9387813, 1.0865698
1565632623142, 10.873751, 10.056687, -3.2644117, 2.5387208, 2.574938, -1.3017532, -1.9238676, 1.1110709
1565632623143, 11.430271, 10.2315235, -3.1207106, 4.028423, 2.5155838, -1.2634037, -1.8631475, 1.1227888
1565632623152, 11.2936535, 10.483001, -3.278782, 2.6273365, 2.4912, -1.2410331, -1.8407769, 1.1302456
1565632623153, 12.0746975, 10.729688, -3.2644117, 4.4738965, 2.4061778, -1.1909657, -1.7534252, 1.1387677
1565632623162, 11.83981, 10.875784, -3.523074, 3.0799952, 2.3419485, -1.1526161, -1.6873789, 1.144094
1565632623163, 12.055148, 10.981165, -3.4967287, 3.537444, 2.2465806, -1.0982877, -1.5904398, 1.1451592
1565632623173, 12.277129, 11.156001, -3.5063088, 3.7386258, 2.160011, -1.0620687, -1.4977618, 1.1377025
1565632623174, 12.369493, 11.282937, -3.523074, 3.6452198, 2.1090105, -1.0418286, -1.438107, 1.1377025
1565632623183, 12.508284, 11.424244, -3.527864, 3.6739602, 2.0673218, -1.010936, -1.4008228, 1.135572
1565632623184, 12.410101, 11.354788, -3.5685792, 3.5134938, 2.0186641, -0.9768475, -1.3603427, 1.1270498
1565632623193, 12.478224, 11.409874, -3.5685792, 3.5757644, 1.9848864, -0.9395633, -1.3411679, 1.1217234
1565632623194, 12.626266, 11.543995, -3.5949244, 3.6380348, 1.9477923, -0.90014845, -1.3198626, 1.1142666
1565632623204, 12.764523, 11.706856, -3.6212697, 3.5733693, 1.9215068, -0.8692558, -1.3145363, 1.099353
1565632623204, 12.889223, 11.836187, -3.6092947, 3.6068995, 1.8918706, -0.82557994, -1.3156016, 1.0801781
1565632623213, 12.937113, 11.939173, -3.652405, 3.3889527, 1.869215, -0.8032094, -1.3092101, 1.0652645
1565632623214, 12.951785, 11.999048, -3.67875, 3.1997461, 1.8595237, -0.79894835, -1.3134711, 1.0460896
1565632623224, 12.918855, 12.001443, -3.7146754, 3.0105398, 1.8451023, -0.793622, -1.3081448, 1.031176
1565632623225, 12.944518, 12.049344, -3.6931202, 2.955454, 1.83144, -0.78936094, -1.3081448, 1.0098706
1565632623234, 13.018138, 12.147539, -3.6548, 2.924319, 1.8218056, -0.7882957, -1.3124058, 0.98750013
1565632623234, 13.012759, 12.118799, -3.7170706, 2.9410841, 1.799576, -0.79681784, -1.3017532, 0.9534117
1565632623244, 13.03977, 12.15712, -3.6691701, 2.9626393, 1.7708076, -0.7914915, -1.2729911, 0.94275904
1565632623244, 12.926172, 12.058924, -3.6332448, 2.9099488, 1.7440293, -0.7861652, -1.24849, 0.92997587
1565632623254, 13.032812, 12.17149, -3.6859353, 2.8500733, 1.7147651, -0.80107886, -1.2048141, 0.92038846
1565632623254, 12.926318, 12.020603, -3.6548, 3.03928, 1.6677527, -0.79681784, -1.1526161, 0.9044095
1565632623264, 13.017488, 12.046948, -3.7098854, 3.2500417, 1.5931598, -0.76485986, -1.0823087, 0.8841695
1565632623264, 12.860266, 11.910433, -3.6931202, 3.1446607, 1.5479363, -0.773382, -1.0173275, 0.87351686
1565632623274, 12.985184, 12.0253935, -3.6811452, 3.2332766, 1.4887604, -0.7339672, -0.9800433, 0.84688526
1565632623275, 13.174211, 11.872112, -3.652405, 4.390071, 1.4110572, -0.7052051, -0.9012137, 0.82557994
1565632623284, 12.994231, 11.982284, -3.8895118, 3.1853762, 1.3561156, -0.664725, -0.8681905, 0.8021441
1565632623285, 13.74926, 12.17149, -3.7529957, 5.1780324, 1.2702876, -0.61678815, -0.81705785, 0.7520767
1565632623294, 13.297594, 12.20502, -3.8607717, 3.5997145, 1.1941267, -0.56459016, -0.79042625, 0.6945524
1565632623295, 13.839654, 12.2361555, -3.781736, 5.245093, 1.0786396, -0.47297743, -0.7222493, 0.6466155
1565632623305, 13.362168, 11.958333, -3.8464015, 4.5553274, 0.9958177, -0.40586576, -0.6945524, 0.58696073
1565632623305, 13.379209, 11.884088, -3.7314405, 4.8834453, 0.9061764, -0.3110572, -0.6498113, 0.5496765
1565632623314, 13.218796, 11.508069, -3.6452198, 5.3863993, 0.83219314, -0.24181503, -0.59761333, 0.52624065
1565632623314, 12.839922, 11.515254, -3.6955154, 4.3134303, 0.7613243, -0.1470065, -0.5656554, 0.4878911
1565632623325, 12.924803, 11.201507, -3.4967287, 5.4175344, 0.680177, -0.07243799, -0.49854377, 0.45699844
1565632623325, 12.124532, 10.97877, -3.6260598, 3.6500099, 0.63203853, -0.01917476, -0.4644553, 0.4282363
1565632623335, 12.527341, 11.045831, -3.4344583, 4.8091993, 0.5716819, 0.03834952, -0.4133226, 0.3930826
1565632623335, 11.796182, 10.823093, -3.4488282, 3.180586, 0.5338665, 0.05539375, -0.39414784, 0.35579833
1565632623342, 11.866876, 10.736873, -3.432063, 3.7098854, 0.49600616, 0.098004326, -0.36645097, 0.31957933
1565632623342, 11.519285, 10.471025, -3.2644117, 3.5206788, 0.44356596, 0.112918034, -0.3153183, 0.2908172
