TimeStamp(epoch),mAccelerometerMagnitude(m/s^2),mAccelerometerX(m/s^2),mAccelerometerY(m/s^2),mAccelerometerZ(m/s^2),mGyroscopeMagnitude(rad/s),mGyroscopeX(rad/s),mGyroscopeY(rad/s),mGyroscopeZ(rad/s) 
1565632450665, 11.753043, 10.123748, -4.164939, 4.277505, 0.98180175, -0.59228706, 0.15765914, 0.7669904
1565632450665, 11.6858835, 9.922566, -4.267925, 4.4595265, 0.9128825, -0.52837116, 0.0777643, 0.74035877
1565632450675, 11.726101, 9.836346, -4.394861, 4.629573, 0.84877115, -0.46339005, -0.02876214, 0.7105314
1565632450675, 11.845567, 9.702225, -4.4571314, 5.130132, 0.8031656, -0.4016047, -0.12676647, 0.68389976
1565632450686, 11.050376, 9.328602, -4.7133985, 3.5877395, 0.7986458, -0.3653857, -0.2609898, 0.660464
1565632450686, 11.421394, 9.108259, -4.840335, 4.905, 0.81817645, -0.28655612, -0.38136467, 0.664725
1565632450695, 10.71332, 8.590936, -5.0558863, 3.9254372, 0.8648701, -0.25033715, -0.47723848, 0.6764429
1565632450696, 10.458736, 8.341853, -5.130132, 3.671565, 0.9188497, -0.20985709, -0.56245965, 0.6956177
1565632450706, 10.227798, 7.788604, -5.1612673, 4.160149, 0.97868246, -0.18855181, -0.61678815, 0.73609775
1565632450706, 9.480283, 7.3694754, -5.2834134, 2.7662477, 1.0521551, -0.16085494, -0.6743124, 0.7914915
1565632450716, 9.468088, 6.832991, -5.278623, 3.8847218, 1.0979674, -0.1555286, -0.67324716, 0.85327685
1565632450716, 8.296609, 6.0330544, -5.343289, 1.9711012, 1.163461, -0.13954964, -0.680704, 0.9331717
1565632450726, 8.272452, 5.384004, -5.1732426, 3.5613942, 1.2742149, -0.13635385, -0.7052051, 1.0524813
1565632450726, 8.120903, 5.3480787, -5.8677983, 1.707649, 1.3886493, -0.18748654, -0.76912093, 1.1408982
1565632450736, 8.124701, 5.0606766, -6.1552005, 1.585503, 1.4982839, -0.24820662, -0.793622, 1.2463595
1565632450736, 7.8288956, 4.8259645, -6.08814, 0.96758795, 1.5650662, -0.3536678, -0.7190535, 1.3443637
1565632450744, 7.924085, 5.122947, -6.0402393, 0.24908204, 1.6264924, -0.4346279, -0.65194184, 1.4253238
1565632450744, 8.693473, 5.999524, -6.248606, 0.732876, 1.646244, -0.5411543, -0.5475459, 1.4551512
1565632450755, 10.101033, 7.455696, -6.715635, -1.1591895, 1.6281183, -0.6295713, -0.44208476, 1.4349113
1565632450755, 10.416606, 8.087981, -6.447393, 1.2334352, 1.5847104, -0.7030745, -0.28016454, 1.3923006
1565632450766, 10.737089, 8.499925, -6.5000834, -0.8861573, 1.5612652, -0.76592517, -0.20879184, 1.3443637
1565632450766, 10.915731, 8.729847, -6.236631, 2.0118165, 1.5073224, -0.7595336, -0.13102753, 1.2953615
1565632450776, 10.92008, 8.842413, -6.337222, 0.9484278, 1.4676694, -0.76059884, -0.13954964, 1.2474247
1565632450777, 11.396673, 9.208851, -6.183941, 2.6153615, 1.3857473, -0.7105314, -0.12144015, 1.1835088
1565632450786, 11.4911995, 9.376502, -6.212681, 2.3519094, 1.3042622, -0.65726817, -0.14274544, 1.1174624
1565632450786, 11.873313, 9.604029, -6.2965064, 3.0153298, 1.2072878, -0.5699165, -0.165116, 1.051416
1565632450796, 12.017115, 9.718989, -6.0737696, 3.6140847, 1.1274248, -0.5006743, -0.20772657, 0.98856544
1565632450796, 12.031247, 10.051897, -6.0689797, 2.6225464, 1.0528246, -0.41971418, -0.27803403, 0.92464954
1565632450807, 12.38826, 10.188414, -5.831873, 3.9565725, 0.9693181, -0.34940675, -0.28336033, 0.8586032
1565632450807, 12.090949, 10.360855, -5.9037232, 1.9974464, 0.90042704, -0.29294774, -0.2972088, 0.7978831
1565632450813, 12.284735, 10.408755, -5.6714063, 3.2260914, 0.8144315, -0.2545982, -0.25992453, 0.7286409
1565632450814, 11.966744, 10.360855, -5.724097, 1.7579445, 0.75597835, -0.24501082, -0.22903186, 0.6775082
1565632450824, 12.0072365, 10.435101, -5.5588408, 2.0932472, 0.705604, -0.23435818, -0.16192019, 0.64555025
1565632450825, 11.761667, 10.260264, -5.4678297, 1.7794995, 0.6613173, -0.26418558, -0.05219796, 0.6040049
1565632450834, 11.85304, 10.418335, -5.5947657, 0.80712163, 0.65966797, -0.2972088, 0.0777643, 0.5837649
1565632450835, 11.829453, 10.384805, -5.3480787, 1.8681153, 0.68354625, -0.3270362, 0.23116238, 0.5539375
1565632450844, 11.632314, 10.229129, -5.398374, 1.2382251, 0.7644384, -0.3685815, 0.38562572, 0.5475459
1565632450845, 11.52366, 10.147698, -5.2283278, 1.575923, 0.83887464, -0.38775626, 0.50813115, 0.5432849
1565632450854, 11.660591, 10.245894, -5.1971927, 1.9950514, 0.90453625, -0.386691, 0.62317973, 0.5294364
1565632450854, 11.85462, 10.403965, -5.1684523, 2.3614893, 0.97162044, -0.3717773, 0.7318367, 0.51984906
1565632450864, 12.111666, 10.593172, -5.242698, 2.6441016, 0.9986001, -0.35792887, 0.79042625, 0.49428272
1565632450865, 12.37742, 10.741663, -5.1828227, 3.3099172, 0.9882646, -0.29827404, 0.8245147, 0.45593318
