TimeStamp(epoch),mAccelerometerMagnitude(m/s^2),mAccelerometerX(m/s^2),mAccelerometerY(m/s^2),mAccelerometerZ(m/s^2),mGyroscopeMagnitude(rad/s),mGyroscopeX(rad/s),mGyroscopeY(rad/s),mGyroscopeZ(rad/s) 
1565633086396, 7.549674, 0.15088624, -0.488584, 7.5323367, 1.3184214, 0.50600064, -0.93849796, 0.7755125
1565633086398, 9.041106, 0.61073, -0.5628296, 9.002879, 1.353431, 0.5752428, -0.9864349, 0.72651035
1565633086398, 7.51833, 0.6394702, -0.45505372, 7.4772515, 1.4360073, 0.6125271, -1.0961571, 0.69668293
1565633086398, 7.707485, 0.5556446, -0.31853762, 7.680828, 1.6020454, 0.6892261, -1.2793826, 0.6743124
1565633086398, 8.466693, 0.39996827, -0.29698244, 8.452024, 1.8180012, 0.69774824, -1.5350461, 0.67963874
1565633086398, 6.5860124, 0.19639161, -0.49097902, 6.564749, 2.0640736, 0.67537767, -1.8109496, 0.72437984
1565633086399, 7.2057276, -0.06227051, -0.62989014, 7.1778736, 2.2738333, 0.64341974, -2.0431771, 0.76272935
1565633086400, 4.824027, -0.021555176, -0.91010743, 4.737349, 2.4739444, 0.58056915, -2.2690134, 0.79681784
1565633086400, 5.449428, 0.57719976, -0.92926764, 5.3384986, 2.533854, 0.5368933, -2.352104, 0.77444726
1565633086409, 4.0858154, 1.1567944, -0.93405765, 3.8056862, 2.5991852, 0.46871635, -2.4511735, 0.72651035
1565633086412, 4.7979827, 1.7938697, -0.89573735, 4.358936, 2.6971767, 0.43675843, -2.5747442, 0.6743124
1565633086418, 5.307338, 2.2273684, -0.87418216, 4.737349, 2.7992153, 0.37923414, -2.706837, 0.6040049
1565633086422, 5.4264836, 2.7710378, -0.9412427, 4.5696974, 2.9204729, 0.32490566, -2.8538435, 0.52837116
1565633086430, 5.8553696, 3.4847536, -0.9412427, 4.6104126, 3.051278, 0.2790993, -3.0072415, 0.4346279
1565633086430, 6.3625956, 4.1074586, -0.98195803, 4.758904, 3.1517007, 0.2428803, -3.125486, 0.32490566
1565633086440, 6.3190007, 4.071533, -1.0226734, 4.7229786, 3.231427, 0.21518342, -3.2160335, 0.23009712
1565633086554, 6.319338, 4.040398, -1.0801538, 4.737349, 3.3045537, 0.18002969, -3.2959282, 0.15659387
1565633086560, 5.983778, 3.774551, -1.1615845, 4.495452, 3.4225428, 0.111852765, -3.4173684, 0.15126756
1565633086565, 5.5692005, 3.6140847, -1.2765454, 4.040398, 4.8357553, -3.4759579, -3.158509, 1.1515509
1565633086568, 12.641705, 10.93087, -6.2821364, -0.92926764, 4.844353, -3.7752972, -2.8527782, 1.0375676
1565633086568, 12.945354, 10.660233, -6.5551686, 3.3123121, 4.8166356, -3.9137816, -2.630138, 0.9821738
1565633086577, 12.908642, 9.917776, -6.744375, 4.773274, 4.9545655, -4.019243, -2.7004454, 1.0492855
1565633086577, 13.576684, 8.581355, -6.488108, 8.281978, 4.9469037, -3.9510658, -2.7675571, 1.0961571
1565633086586, 14.325871, 8.226892, -6.734795, 9.601634, 4.8435907, -3.7412088, -2.871953, 1.1025487
1565633086587, 15.529138, 8.0305, -6.662945, 11.500884, 4.7797623, -3.4269557, -3.125486, 1.1547467
1565633086597, 16.689175, 7.3551054, -6.2797413, 13.601316, 4.7045097, -3.033873, -3.3854105, 1.2112057
1565633086597, 16.644564, 7.30481, -6.440208, 13.498331, 4.693124, -2.5726137, -3.7199035, 1.252751
1565633086607, 17.875916, 7.1443434, -6.310877, 15.122154, 4.746795, -2.07407, -4.065049, 1.3060142
1565633086608, 16.259985, 6.7946706, -6.253396, 13.383369, 4.8869443, -1.5925703, -4.4176517, 1.3528858
1565633086617, 16.349024, 6.5288234, -5.9228835, 13.768968, 5.019377, -1.1419635, -4.677576, 1.417867
1565633086620, 13.863671, 5.968389, -5.719307, 11.129656, 5.262082, -0.81705785, -4.9641323, 1.5425029
1565633086627, 11.945427, 5.2043777, -5.621111, 9.16574, 5.432301, -0.6040049, -5.1217914, 1.7065537
1565633086629, 10.064616, 4.9576907, -5.611531, 6.725215, 5.517503, -0.49960902, -5.1612062, 1.8855181
1565633086637, 8.950737, 4.9313455, -5.8677983, 4.622388, 5.5377994, -0.49428272, -5.1143346, 2.0655477
1565633086639, 8.456952, 5.4295096, -5.9180937, 2.6488917, 5.495266, -0.5784386, -4.99396, 2.218946
1565633086647, 8.811664, 6.253396, -6.071375, 1.2957057, 5.3991847, -0.7105314, -4.81393, 2.3393207
1565633086649, 9.50019, 7.237749, -6.1456203, 0.3161426, 5.2480583, -0.87564737, -4.5667887, 2.433064
1565633086658, 10.37454, 8.3250885, -6.1767554, -0.4143384, 5.023053, -1.0684602, -4.2429485, 2.4671526
1565633086658, 11.451954, 9.465117, -6.382727, -0.9053174, 4.7623696, -1.2783173, -3.8615837, 2.47674
1565633086667, 12.539519, 10.540482, -6.720425, -0.9867481, 4.5241513, -1.4839134, -3.5025895, 2.449043
1565633086670, 13.53938, 11.57034, -6.9934573, -0.73048097, 4.28793, -1.6895094, -3.1510522, 2.3670175
1565633086678, 14.131734, 12.147539, -7.220984, 0.023950197, 4.1065483, -1.8397117, -2.876214, 2.2817965
1565633086680, 14.3971815, 12.274476, -7.424561, 1.22146, 3.963648, -1.9217371, -2.674879, 2.2050974
1565633086687, 14.578445, 12.26729, -7.455696, 2.5411158, 3.8212225, -1.9196066, -2.5236115, 2.1326594
1565633086690, 14.72843, 12.042159, -7.4269557, 4.0930886, 3.6933396, -1.8375812, -2.4543693, 2.0591562
1565633086698, 14.792907, 11.5895, -7.414981, 5.4342995, 3.6074946, -1.707619, -2.453304, 2.0197413
1565633086700, 14.749313, 11.1176815, -7.4030056, 6.255791, 3.546689, -1.5233282, -2.501241, 2.0005667
1565633086708, 14.453559, 10.617122, -7.1874537, 6.672525, 3.526763, -1.3432984, -2.5651567, 2.0133498
1565633086711, 13.9628, 10.066268, -7.1395535, 6.5312185, 3.4837615, -1.1579424, -2.5832663, 2.030394
1565633086718, 13.659346, 9.891431, -7.2545147, 6.0091043, 3.4360619, -0.98430437, -2.573679, 2.0527647
1565633086721, 13.310795, 9.553733, -7.29523, 5.716912, 3.423221, -0.8490158, -2.5502431, 2.1198764
1565633086728, 12.581122, 9.1130495, -7.204219, 4.8307548, 3.415781, -0.80107886, -2.5023062, 2.1827269
