TimeStamp(epoch),mAccelerometerMagnitude(m/s^2),mAccelerometerX(m/s^2),mAccelerometerY(m/s^2),mAccelerometerZ(m/s^2),mGyroscopeMagnitude(rad/s),mGyroscopeX(rad/s),mGyroscopeY(rad/s),mGyroscopeZ(rad/s) 
1566316273478, 6.5384274, 5.096602, -3.767366, 1.6070582, 4.4219418, -2.0208068, -3.617638, 1.5435683
1566316273490, 6.7257366, 5.1876125, -4.064348, 1.343606, 4.496925, -2.1326594, -3.6389434, 1.5595472
1566316273491, 7.0625668, 5.4127445, -4.4595265, 0.8334668, 4.5778, -2.2732744, -3.6559875, 1.5563514
1566316273498, 8.585061, 6.7539554, -5.2882032, -0.34967285, 4.6090746, -2.4341292, -3.5920718, 1.5542208
1566316273499, 7.9471073, 6.0426345, -5.1540823, 0.2802173, 4.6535907, -2.5790052, -3.5420043, 1.5680692
1566316273511, 7.9916296, 6.016289, -5.252278, 0.28979737, 4.726942, -2.7206855, -3.5153728, 1.6074841
1566316273511, 7.914352, 5.8989334, -5.230723, 0.69216067, 4.8358483, -2.8623655, -3.529221, 1.6543556
1566316273520, 8.115438, 6.1528053, -5.130132, 1.2981006, 4.944822, -2.973153, -3.5697012, 1.6937705
1566316273521, 8.437663, 6.456973, -5.1876125, 1.6094532, 5.0632267, -3.0882018, -3.6197686, 1.7310548
1566316273531, 9.2236805, 7.1156034, -5.5588408, 1.8824854, 5.1867957, -3.1808796, -3.7007287, 1.7576864
1566316273531, 10.001069, 7.6137676, -6.205496, 1.8824854, 5.3219113, -3.2820797, -3.7838194, 1.7981664
1566316273539, 10.729714, 8.0305, -6.8880763, 1.7866846, 5.4872646, -3.3992589, -3.891411, 1.8471686
1566316273539, 11.333497, 8.2197075, -7.472461, 2.2465284, 5.7000165, -3.5228295, -4.0490704, 1.9196066
1566316273549, 12.215281, 8.758587, -7.8915896, 3.1973512, 5.889484, -3.625095, -4.1939464, 1.9888487
1566316273550, 12.617326, 9.208851, -8.202942, 2.6656568, 6.0926538, -3.7284255, -4.3484097, 2.0762005
1566316273560, 13.575705, 9.7621, -8.308323, 4.4691067, 6.2216964, -3.7891457, -4.4336305, 2.1667478
1566316273561, 14.025405, 10.2315235, -8.794512, 3.8320315, 6.3497286, -3.8211036, -4.543353, 2.2530344
1566316273571, 15.2731905, 11.122471, -9.0076685, 5.3313136, 6.3832273, -3.8328216, -4.542288, 2.328668
1566316273572, 15.81596, 11.682906, -9.374106, 5.0774417, 6.390003, -3.8125815, -4.5220475, 2.4181504
1566316273581, 17.055494, 12.502003, -9.788445, 6.2270513, 6.3149586, -3.7646446, -4.4346957, 2.457565
1566316273581, 18.053507, 13.258829, -10.389595, 6.495293, 6.185108, -3.6826193, -4.3068643, 2.4788704
1566316273593, 18.616726, 13.565392, -10.9644, 6.5072684, 6.0477824, -3.5760927, -4.197142, 2.4841967
1566316273593, 19.336195, 13.651612, -11.136841, 7.9682302, 5.8931065, -3.4450653, -4.068245, 2.5118935
1566316273602, 18.942558, 13.479171, -11.479329, 6.734795, 5.8131137, -3.3204293, -4.0266995, 2.5598304
1566316273603, 19.400434, 13.215718, -11.426639, 8.435259, 5.7379174, -3.1872714, -3.9787626, 2.6333337
1566316273611, 18.351803, 12.511582, -11.479329, 6.962322, 5.757118, -3.077549, -4.0053945, 2.7622306
1566316273611, 18.3934, 12.068504, -11.412269, 7.90117, 5.7741747, -2.9379995, -4.0458746, 2.8879318
1566316273622, 17.90314, 11.61345, -11.53202, 7.2569094, 5.8585925, -2.8250813, -4.1097903, 3.0743532
1566316273623, 17.51241, 11.366763, -11.567945, 6.607859, 5.9766603, -2.698315, -4.2280345, 3.2501218
1566316273631, 17.38394, 10.890154, -11.587105, 7.0245924, 6.118421, -2.6120284, -4.321778, 3.4546525
1566316273631, 16.570177, 10.607542, -11.649376, 5.132527, 6.3062787, -2.5321336, -4.4474792, 3.6847498
1566316273642, 16.602736, 10.437495, -11.819422, 5.1971927, 6.500115, -2.4543693, -4.563593, 3.9244342
1566316273642, 16.659378, 10.425521, -12.0110235, 4.9576907, 6.721524, -2.3787355, -4.6935554, 4.182228
1566316273651, 16.783716, 10.617122, -12.102035, 4.744534, 6.95, -2.292449, -4.8480186, 4.4208474
1566316273651, 17.12703, 11.053016, -12.28645, 4.495452, 7.1620345, -2.207228, -4.980111, 4.6498795
1566316273662, 17.646603, 11.704461, -12.542718, 4.133804, 7.3312845, -2.1156151, -5.082377, 4.841627
1566316273662, 18.054398, 12.149935, -12.80138, 3.803291, 7.481844, -2.0176108, -5.15588, 5.032309
1566316273672, 18.574963, 12.722344, -12.997771, 3.772156, 7.600081, -1.9036276, -5.212339, 5.1931643
1566316273673, 18.994799, 13.141473, -13.2420635, 3.5709743, 7.6972523, -1.7832527, -5.2347097, 5.354019
1566316273682, 19.334621, 13.524676, -13.34505, 3.5805542, 7.736384, -1.6575515, -5.209143, 5.474394
