TimeStamp(epoch),mAccelerometerMagnitude(m/s^2),mAccelerometerX(m/s^2),mAccelerometerY(m/s^2),mAccelerometerZ(m/s^2),mGyroscopeMagnitude(rad/s),mGyroscopeX(rad/s),mGyroscopeY(rad/s),mGyroscopeZ(rad/s) 
1566315658864, 9.304685, 8.471185, -3.66438, 1.1783496, 2.6085198, 1.1856394, 2.308428, 0.26418558
1566315658874, 20.439688, 17.871637, -7.3694754, 6.638994, 2.7510536, 1.3677995, 2.385127, 0.09267801
1566315658874, 19.311787, 16.990269, -7.470066, 5.336104, 2.8584867, 1.5371766, 2.4096282, -0.041545313
1566315658875, 15.358447, 12.399016, -7.9969707, 4.26553, 2.9134645, 1.6980315, 2.364887, -0.1107875
1566315658875, 14.43652, 11.268567, -8.090376, 3.9972878, 2.9255235, 1.8578212, 2.25623, -0.128897
1566315658876, 13.599981, 10.138118, -8.272398, 3.7074904, 2.889678, 1.9909793, 2.091114, -0.11611383
1566315658877, 12.663645, 8.990904, -8.337064, 3.166216, 2.8006546, 2.091114, 1.8620822, -0.05965481
1566315658877, 11.755145, 7.937095, -8.315508, 2.4572902, 2.7084532, 2.1614215, 1.6319852, 0.024501082
1566315658877, 10.7666645, 6.928792, -8.083191, 1.6046631, 2.5795853, 2.163552, 1.3997575, 0.11824436
1566315658878, 10.05301, 6.2270513, -7.8915896, -0.098195806, 2.4391448, 2.1369205, 1.1483551, 0.25353295
1566315658878, 9.566302, 5.836663, -7.561077, 0.52690434, 2.3083544, 2.0687435, 0.9534117, 0.37390783
1566315658884, 9.39764, 5.4247193, -7.3718705, -2.1315675, 2.1387355, 1.9355855, 0.7637946, 0.49428272
1566315658884, 9.140673, 5.372029, -7.1371584, -1.9375709, 1.976286, 1.7853832, 0.59761333, 0.60080916
1566315658893, 9.481674, 5.2929935, -7.189849, -3.1925611, 1.8097774, 1.5978967, 0.4708469, 0.7073356
1566315658893, 9.530871, 5.5468655, -6.7395854, -3.8272414, 1.6353863, 1.406149, 0.33981937, 0.76272935
1566315658905, 9.498733, 5.774392, -6.8737063, -3.1039455, 1.487676, 1.2090752, 0.26738137, 0.8245147
1566315658905, 10.622803, 6.183941, -7.2425394, -4.7062135, 1.3240972, 1.0130665, 0.18642128, 0.8319715
1566315658915, 10.3633995, 6.7659307, -7.237749, -3.03928, 1.1694402, 0.8362326, 0.13422333, 0.8064052
1566315658915, 11.366321, 7.065308, -7.592212, -4.6511283, 1.0061349, 0.6487461, 0.06924219, 0.76592517
1566315658923, 11.122311, 7.5203614, -7.6233473, -3.0057497, 0.86015075, 0.5006743, 0.06178534, 0.69668293
1566315658924, 11.37878, 7.6041875, -7.688013, -3.542234, 0.73640674, 0.37923414, 0.06924219, 0.62744075
1566315658933, 11.153632, 7.7143583, -7.558682, -2.7854078, 0.6535005, 0.294013, 0.06924219, 0.5795039
1566315658934, 10.817712, 7.5131764, -7.4030056, -2.4022048, 0.57731926, 0.23542345, 0.08735169, 0.51984906
1566315658944, 10.425807, 7.407796, -7.1635036, -1.583108, 0.520813, 0.22796659, 0.05965481, 0.4644553
1566315658945, 10.038851, 7.2760696, -6.9144216, 0.16765137, 0.48127562, 0.22903186, 0.06924219, 0.41758367
1566315658954, 10.056749, 7.079678, -6.991062, -1.463357, 0.45182663, 0.25246766, 0.024501082, 0.37390783
1566315658954, 9.902163, 7.062913, -6.821016, 1.2813355, 0.43570617, 0.28868666, 0.060720075, 0.3206446
1566315658965, 9.825041, 6.7467704, -7.0006423, -1.4154567, 0.4251847, 0.30253512, 0.039414786, 0.29614353
1566315658965, 9.677896, 6.638994, -7.0078273, 0.68976563, 0.44886205, 0.33662358, 0.0777643, 0.28655612
1566315658976, 9.585114, 6.423443, -6.964717, -1.4513819, 0.42244416, 0.3174488, 0.10333065, 0.25885928
1566315658976, 9.562872, 6.583909, -6.9072366, -0.62510014, 0.41907156, 0.29507825, 0.14487597, 0.25992453
1566315658985, 9.698879, 6.4162574, -7.0150127, -1.9208057, 0.36737263, 0.22583607, 0.15126756, 0.24714136
1566315658986, 9.682389, 6.361172, -6.933582, -2.2824538, 0.30837888, 0.13209279, 0.1587244, 0.22903186
1566315658996, 9.494255, 6.2725563, -6.7803006, -2.196233, 0.32080558, 0.027696876, 0.21731395, 0.23435818
1566315658996, 9.879114, 6.2869267, -6.7395854, -3.5566041, 0.33553463, -0.08628642, 0.21837921, 0.2396845
1566315659005, 9.322112, 6.248606, -6.631809, -1.9687061, 0.4014422, -0.18429075, 0.26312032, 0.24074976
1566315659006, 9.921776, 6.4018874, -6.7803006, -3.3889527, 0.44973844, -0.28975195, 0.25566345, 0.23009712
1566315659015, 9.504134, 6.447393, -6.7970657, -1.5998731, 0.49802226, -0.36325517, 0.27483824, 0.20133498
1566315659015, 9.8426895, 6.5264287, -7.0365677, -2.184258, 0.54797786, -0.43356264, 0.27483824, 0.1917476
1566315659025, 9.877591, 6.696475, -7.117998, -1.4346168, 0.55048615, -0.45806372, 0.24501082, 0.18216023
1566315659026, 9.78577, 6.672525, -7.094048, -0.95561284, 0.58442646, -0.50387007, 0.24927188, 0.15978967
1566315659035, 10.065953, 6.8665214, -7.192244, -1.5639478, 0.5750978, -0.51984906, 0.21624869, 0.11717909
