TimeStamp(epoch),mAccelerometerMagnitude(m/s^2),mAccelerometerX(m/s^2),mAccelerometerY(m/s^2),mAccelerometerZ(m/s^2),mGyroscopeMagnitude(rad/s),mGyroscopeX(rad/s),mGyroscopeY(rad/s),mGyroscopeZ(rad/s) 
1566316206485, 8.106954, 3.6452198, 3.542234, 6.3156667, 2.283626, -2.0612867, -0.64768076, 0.7392935
1566316206495, 8.418538, 5.3049684, 2.1531227, 6.1719656, 2.2809594, -2.0314593, -0.72651035, 0.74035877
1566316206495, 9.850314, 5.2929935, 2.3495142, 7.9682302, 2.2554948, -1.9622171, -0.8309063, 0.7392935
1566316206505, 9.513381, 5.4534597, 2.3447242, 7.434141, 2.2719915, -1.8780613, -1.0439591, 0.73822826
1566316206505, 10.776793, 5.518125, 2.2417383, 8.981323, 2.2414546, -1.7385116, -1.2069446, 0.73822826
1566316206516, 10.269529, 5.132527, 2.059717, 8.653206, 2.2614863, -1.6138756, -1.406149, 0.72970617
1566316206516, 10.225021, 4.988826, 1.705254, 8.760982, 2.294353, -1.4572818, -1.619202, 0.72011876
1566316206525, 9.8160305, 4.5960426, 1.3555812, 8.566985, 2.3809175, -1.2985574, -1.8684739, 0.700944
1566316206526, 9.458782, 4.5002418, 1.0490186, 8.253238, 2.506486, -1.164334, -2.1092236, 0.69135666
1566316206535, 8.738978, 4.138594, 0.73527104, 7.661668, 2.6280355, -1.0301107, -2.3254724, 0.66152924
1566316206536, 8.070117, 3.8272414, 0.50534916, 7.086863, 2.7694254, -0.8948221, -2.5395904, 0.64768076
1566316206546, 7.4416046, 3.3314724, 0.6011499, 6.6270194, 2.9100504, -0.7840346, -2.727077, 0.64555025
1566316206546, 6.686604, 2.8524685, 0.8334668, 5.989944, 3.0401945, -0.67963874, -2.8911278, 0.6498113
1566316206555, 6.76068, 2.5578809, 1.0490186, 6.1695704, 3.1596556, -0.5965481, -3.0274816, 0.67963874
1566316206556, 5.6213765, 2.3255641, 1.1927198, 4.976851, 3.294577, -0.5571333, -3.1510522, 0.7840346
1566316206566, 6.213903, 2.1148024, 1.5256275, 5.640271, 3.3914287, -0.5592638, -3.2170987, 0.91612744
1566316206566, 4.366098, 1.9567311, 1.4441968, 3.6260598, 3.5765305, -0.6348976, -3.3491914, 1.0823087
1566316206576, 5.116162, 2.3782544, 1.0681788, 4.402046, 3.7640214, -0.7233146, -3.4791536, 1.2410331
1566316206576, 4.2079844, 2.7494826, 0.12693603, 3.182981, 3.9763634, -0.86606, -3.6229644, 1.3912354
1566316206586, 4.7441955, 3.0656252, -0.43110353, 3.5949244, 4.136567, -0.9768475, -3.7113814, 1.5435683
1566316206587, 4.565679, 2.8931837, -0.9867481, 3.391348, 4.2343197, -1.0578076, -3.7348173, 1.6916399
1566316206596, 4.575293, 3.056045, -1.5208374, 3.046465, 4.383646, -1.0982877, -3.8253646, 1.8375812
1566316206597, 5.5007644, 3.1039455, -1.83219, 4.1553593, 4.5067487, -1.1174624, -3.882889, 1.9963056
1566316206606, 5.0385575, 3.1853762, -2.3519094, 3.1159205, 4.730438, -1.1068097, -4.0458746, 2.1869879
1566316206606, 6.563857, 3.175796, -2.7446926, 5.046306, 4.9641547, -1.0365024, -4.234426, 2.3744745
1566316206616, 6.4482594, 3.0201197, -3.415298, 4.5601172, 5.2668195, -0.9555422, -4.5188518, 2.5310683
1566316206616, 8.192683, 3.7386258, -3.9134622, 6.1504107, 5.498701, -0.80533993, -4.7500143, 2.650378
1566316206626, 8.559967, 5.0343313, -4.1553593, 5.5372853, 5.753303, -0.6849651, -5.028048, 2.711098
1566316206626, 10.127603, 6.342012, -3.8128712, 6.9144216, 5.9100485, -0.58056915, -5.195295, 2.7569044
1566316206636, 9.566299, 6.9311867, -3.523074, 5.5732107, 5.9855275, -0.5219796, -5.2624063, 2.803776
1566316206636, 9.544888, 7.391031, -3.4631984, 4.9481106, 6.0012, -0.48043427, -5.2421665, 2.8815403
1566316206647, 9.674725, 7.5970025, -3.784131, 4.643943, 5.9462914, -0.45806372, -5.1217914, 2.9859362
1566316206647, 9.797183, 7.8772197, -4.2032595, 4.033213, 5.8538857, -0.43675843, -4.9364357, 3.1158986
1566316206656, 9.942949, 8.042476, -4.392466, 3.8583767, 5.812151, -0.45593318, -4.769189, 3.290602
1566316206656, 9.621108, 7.783814, -4.720584, 3.1135256, 5.8102007, -0.47723848, -4.636031, 3.4695663
1566316206667, 10.019154, 7.9083548, -4.82357, 3.8176613, 5.8488917, -0.515588, -4.524178, 3.6709013
1566316206667, 9.631235, 7.879615, -5.1636624, 2.0022364, 5.890532, -0.57098174, -4.419782, 3.8519962
1566316206677, 10.216793, 8.181387, -5.125342, 3.3434474, 5.882487, -0.6178534, -4.270645, 3.9979374
1566316206678, 10.237918, 8.435259, -5.3552637, 2.2321582, 5.9200892, -0.6743124, -4.1875544, 4.13003
1566316206687, 10.767103, 8.775352, -5.391189, 3.1398706, 5.9592047, -0.7041398, -4.1225734, 4.245079
1566316206687, 10.80059, 8.722662, -5.736072, 2.7686427, 6.0334015, -0.72437984, -4.085289, 4.3803673
1566316206698, 11.312143, 9.22801, -6.0210795, 2.560276, 6.1123896, -0.69774824, -4.0575924, 4.5177865
1566316206699, 12.54728, 10.152488, -6.4833183, 3.5110989, 6.1285872, -0.6125271, -4.003264, 4.599812
